,round,tube0,tube1,tube2
0,0,2,4,9
1,1,7,9,5
2,2,5,0,2
3,3,8,3,1
4,4,9,3,2
5,5,4,8,7
6,6,5,9,0
7,7,9,2,0
8,8,4,5,2
9,9,9,3,6
10,10,4,0,7
11,11,0,9,2
12,12,6,5,2
13,13,2,3,7
14,14,9,7,5
15,15,9,0,3
16,16,9,3,0
17,17,5,0,4
18,18,3,8,6
19,19,2,4,7
20,20,5,3,0
21,21,3,6,1
22,22,3,8,7
23,23,3,7,8
