,round,tube0,tube1,tube2
0,0,3,7,2
1,1,4,0,2
2,2,5,8,6
3,3,2,8,6
4,4,1,8,2
5,5,3,4,7
6,6,6,1,5
7,7,3,2,9
8,8,3,9,5
9,9,6,9,5
10,10,5,6,9
11,11,2,5,0
12,12,2,0,1
13,13,9,3,7
14,14,1,0,3
15,15,3,9,1
16,16,9,4,6
17,17,3,0,7
18,18,1,4,8
19,19,9,2,1
20,20,7,4,2
21,21,6,7,8
22,22,8,3,6
23,23,2,8,7
