,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,19,7,10,8,9,15,2
1,1,19,17,2,6,16,3,15
2,2,10,18,16,12,19,2,14
3,3,7,0,13,18,6,5,17
4,4,8,5,2,7,20,10,3
5,5,6,8,0,4,2,18,10
6,6,20,6,0,12,10,7,16
7,7,7,14,8,3,4,11,20
8,8,5,17,20,14,3,13,8
9,9,20,13,2,4,0,9,15
10,10,1,14,8,17,10,16,2
11,11,7,18,13,11,15,20,8
12,12,6,10,0,4,3,20,15
13,13,8,9,14,0,7,20,6
14,14,12,7,1,3,15,16,19
15,15,19,20,3,0,16,2,4
16,16,16,20,6,10,2,15,14
17,17,20,2,15,11,18,6,12
18,18,4,12,3,18,16,7,20
19,19,7,11,19,12,6,4,5
20,20,5,11,6,10,19,0,4
21,21,14,19,2,6,8,20,17
22,22,3,5,6,8,11,7,2
23,23,6,15,8,19,10,4,0
24,24,6,20,15,11,12,2,18
25,25,11,14,19,17,3,20,1
26,26,7,1,6,8,14,13,16
27,27,15,0,10,2,1,19,17
28,28,10,11,14,2,9,18,5
29,29,17,13,0,18,1,3,7
30,30,18,11,0,13,15,10,12
31,31,1,8,3,15,16,13,0
32,32,19,13,10,16,15,3,12
33,33,5,9,15,6,12,2,0
34,34,0,15,10,2,3,4,8
35,35,15,17,10,18,13,12,11
36,36,14,7,6,17,5,13,20
37,37,15,2,6,12,20,14,10
38,38,15,18,7,5,4,17,8
39,39,18,17,19,12,8,20,5
40,40,9,19,8,0,5,20,11
41,41,19,11,10,12,17,3,0
42,42,12,20,19,2,18,5,6
43,43,12,4,5,13,2,14,15
44,44,9,20,16,15,2,18,0
45,45,9,18,3,15,16,5,6
46,46,20,5,2,9,16,7,11
47,47,20,2,4,1,9,7,5
48,48,19,15,10,13,12,18,1
