,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,20,3,4,7,12,11,15
1,1,1,13,20,7,6,4,3
2,2,5,2,14,7,18,16,4
3,3,15,14,11,2,0,12,10
4,4,16,15,10,4,1,18,7
5,5,2,19,11,17,15,6,9
6,6,20,13,4,18,16,10,7
7,7,18,1,17,0,2,14,5
8,8,7,20,13,17,5,0,14
9,9,7,4,0,19,1,16,17
10,10,20,6,17,18,8,13,7
11,11,6,15,19,9,17,4,13
12,12,16,3,2,12,11,10,0
13,13,2,9,18,8,14,6,4
14,14,18,3,20,5,14,1,8
15,15,7,20,10,0,18,11,3
16,16,4,15,19,1,17,3,16
17,17,8,20,18,17,1,2,10
18,18,0,14,10,6,1,13,5
19,19,13,18,19,15,17,0,3
20,20,8,7,12,4,15,17,11
21,21,5,18,9,12,4,1,8
22,22,19,5,11,18,2,3,9
23,23,7,5,19,6,3,13,11
24,24,8,19,2,18,14,4,16
25,25,12,16,7,1,15,9,6
26,26,20,6,17,2,9,3,18
27,27,11,10,5,1,8,18,6
28,28,15,3,10,7,18,9,14
29,29,1,10,5,17,14,11,9
30,30,4,0,9,13,17,5,6
31,31,11,2,8,17,16,5,15
32,32,15,1,4,0,3,14,20
33,33,4,14,11,9,1,19,6
34,34,20,1,6,11,9,16,13
35,35,12,1,2,7,8,17,11
36,36,14,17,2,6,4,18,7
37,37,2,17,11,7,16,18,19
38,38,13,12,5,9,10,7,18
39,39,3,0,14,19,13,1,10
40,40,9,17,0,2,5,4,8
41,41,1,7,8,17,9,5,12
42,42,10,0,8,11,18,17,6
43,43,10,11,7,16,2,15,5
44,44,6,5,11,12,7,13,15
45,45,1,12,6,15,8,5,13
46,46,17,10,4,16,20,6,7
47,47,10,9,3,13,8,16,19
48,48,19,4,5,9,7,3,16
