,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,2,7,1,16,14,15,0
1,1,3,17,2,18,7,16,20
2,2,2,13,19,9,6,11,16
3,3,20,10,18,15,7,17,11
4,4,8,1,3,2,9,6,4
5,5,0,7,12,3,13,10,17
6,6,11,10,6,5,8,9,0
7,7,7,15,3,8,16,13,9
8,8,19,9,16,17,8,1,6
9,9,8,11,2,18,4,16,14
10,10,2,12,4,6,10,0,11
11,11,10,4,0,14,12,16,7
12,12,15,14,8,18,6,10,20
13,13,8,3,10,11,20,15,7
14,14,13,14,9,4,0,1,16
15,15,12,2,14,11,8,10,15
16,16,6,16,8,11,18,17,13
17,17,20,19,12,11,3,8,18
18,18,14,19,5,13,20,7,3
19,19,20,10,2,11,4,3,13
20,20,13,2,9,18,4,5,11
21,21,18,4,8,1,10,20,2
22,22,1,2,4,15,8,3,20
23,23,3,20,17,14,0,15,9
24,24,5,20,13,2,14,19,12
25,25,5,3,1,20,14,4,6
26,26,5,0,6,19,20,12,15
27,27,7,17,0,12,19,9,14
28,28,1,11,19,6,4,12,16
29,29,19,8,2,1,17,6,9
30,30,16,6,19,10,0,2,5
31,31,5,20,11,17,4,3,7
32,32,2,16,7,18,17,5,13
33,33,16,15,9,13,11,20,8
34,34,1,7,3,6,15,19,11
35,35,0,16,2,15,13,17,14
36,36,15,6,13,0,8,16,12
37,37,1,15,2,3,16,5,13
38,38,10,1,15,12,8,17,18
39,39,0,1,4,8,17,5,14
40,40,11,18,0,6,15,13,7
41,41,3,5,16,10,14,1,0
42,42,4,7,18,12,11,14,5
43,43,6,0,20,2,18,14,3
44,44,9,13,17,5,20,0,3
45,45,7,13,17,19,1,10,6
46,46,18,15,9,8,17,2,16
47,47,4,20,9,0,14,10,19
48,48,8,4,6,9,17,2,11
