,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,7,8,12,3,11,16,18
1,1,8,5,6,4,3,2,1
2,2,7,2,1,0,5,8,6
3,3,10,6,7,0,19,15,2
4,4,17,20,10,6,15,9,8
5,5,16,9,10,15,11,0,14
6,6,12,5,2,6,14,16,8
7,7,1,2,3,0,10,4,18
8,8,1,8,0,9,2,18,4
9,9,0,2,8,7,1,3,10
10,10,14,11,8,1,15,4,17
11,11,0,1,16,3,19,17,4
12,12,2,7,18,1,5,6,17
13,13,1,11,15,10,4,0,9
14,14,1,6,16,20,3,0,11
15,15,15,2,0,7,1,11,16
16,16,15,20,5,12,18,7,16
17,17,9,2,11,6,0,10,19
18,18,17,11,16,2,20,1,9
19,19,6,0,17,16,3,10,1
20,20,7,17,6,16,8,0,14
21,21,1,8,0,4,5,11,16
22,22,18,12,1,9,7,16,2
23,23,16,15,0,2,17,19,6
24,24,5,10,8,6,20,0,17
25,25,8,7,20,0,19,15,1
26,26,7,17,0,2,1,10,8
27,27,14,10,8,6,3,11,17
28,28,13,9,15,4,17,10,11
29,29,2,19,20,16,11,5,6
30,30,0,8,1,3,2,17,16
31,31,10,0,8,18,16,12,19
32,32,1,7,3,6,11,2,18
33,33,5,2,16,6,14,9,13
34,34,10,1,3,5,19,15,14
35,35,3,4,10,9,11,1,5
36,36,2,19,5,10,3,7,0
37,37,16,1,19,17,9,18,10
38,38,6,16,18,2,9,0,15
39,39,0,12,3,9,15,6,7
40,40,7,17,9,19,1,2,5
41,41,2,20,5,19,1,18,9
42,42,14,6,15,20,0,2,13
43,43,5,9,14,11,10,6,7
44,44,1,19,3,13,15,9,20
45,45,7,12,14,3,8,10,9
46,46,3,8,11,4,5,6,15
47,47,2,9,3,14,1,13,6
48,48,0,3,1,6,13,5,10
