,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,17,6,12,5,20,1,11
1,1,3,9,11,0,8,2,13
2,2,1,13,17,2,6,18,14
3,3,20,16,18,19,13,3,11
4,4,20,10,7,3,14,2,19
5,5,20,9,1,0,17,6,18
6,6,20,4,10,12,13,16,0
7,7,16,14,0,6,5,13,3
8,8,5,16,18,14,0,4,9
9,9,7,2,11,12,14,1,3
10,10,11,16,1,10,9,4,17
11,11,12,0,6,4,2,3,18
12,12,15,4,11,3,9,10,17
13,13,5,9,11,6,16,8,15
14,14,8,14,6,11,0,9,12
15,15,5,17,7,2,14,3,11
16,16,14,11,5,16,9,15,20
17,17,16,3,9,17,0,13,14
18,18,6,11,9,15,4,16,10
19,19,14,3,0,7,13,9,8
20,20,6,13,4,5,7,8,10
21,21,17,12,2,1,5,16,13
22,22,2,9,0,8,5,18,16
23,23,15,12,6,7,2,19,8
24,24,4,0,16,5,15,9,12
25,25,15,5,10,1,6,9,8
26,26,4,10,5,14,18,16,7
27,27,12,15,6,20,4,2,19
28,28,0,14,17,19,13,2,15
29,29,18,13,12,5,19,0,2
30,30,7,12,14,13,0,10,18
31,31,3,16,19,4,17,10,20
32,32,15,18,1,20,6,11,9
33,33,20,9,4,10,1,12,7
34,34,3,4,20,1,17,0,15
35,35,9,4,1,2,11,0,17
36,36,4,6,0,1,14,20,10
37,37,10,15,11,0,6,5,4
38,38,13,10,8,14,0,4,18
39,39,1,10,6,7,8,0,14
40,40,18,16,5,0,19,17,8
41,41,15,17,18,19,4,13,3
42,42,6,0,2,8,15,5,19
43,43,11,17,20,10,0,14,13
44,44,1,7,12,2,13,6,0
45,45,2,13,3,0,20,14,1
46,46,4,13,6,12,5,10,17
47,47,11,4,16,10,2,20,7
48,48,6,13,15,20,8,3,4
