,round,tube,sp,st,final_pop
34,0,2,0,"(0.0, 0.0842911546263725, 0.10770163902136713, 0.0026417494411589476, 0.09487564939009988, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",4
35,0,2,0,"(0.0, 0.09059708024140342, 0.12062129777556371, 0.0026417494411589476, 0.09487564939009988, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",1
36,0,2,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.06339445944252166, 0.061481196520038466, 0.0, 0.05196530257504701, 0.0841018434912883, 0.0, 0.0)",190
37,0,2,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.06339445944252166, 0.061481196520038466, 0.0, 0.05196530257504701, 0.0976880288084689, 0.0, 0.0)",1
38,0,2,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",240
39,0,2,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.023733193697553147, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",1
40,0,2,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.02932596031953266, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",4
41,0,2,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.021346527986917857, 0.04377134538079039, 0.0, 0.0)",5
42,0,3,0,"(0.0, 0.09059708024140342, 0.10770163902136713, 0.0075989718659863585, 0.09487564939009988, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",1
43,0,3,0,"(0.0, 0.09059708024140342, 0.10770163902136713, 0.0026417494411589476, 0.09487564939009988, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",142
44,0,3,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.06339445944252166, 0.061481196520038466, 0.0, 0.05196530257504701, 0.0841018434912883, 0.0, 0.0)",175
45,0,3,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.06339445944252166, 0.07605352216562349, 0.0, 0.05196530257504701, 0.0841018434912883, 0.0, 0.0)",1
46,0,3,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.03262361937671013, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",2
47,0,3,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.01679690585848728, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",2
48,0,3,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.021665816988164367, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",1
49,0,3,12,"(0.08395350898307596, 0.18258258194739335, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",1
50,0,3,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.023709164707843653, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",1
51,0,3,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.07323248437499937, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",2
52,0,3,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.02691190249563136, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",2
53,0,3,12,"(0.15645939147172933, 0.2239132403836328, 0.0, 0.011113423480875717, 0.046704754273107475, 0.0, 0.018306937208161327, 0.04377134538079039, 0.0, 0.0)",2
