,round,tube0,tube1,tube2
0,0,1,9,5
1,1,0,9,4
2,2,6,0,3
3,3,2,8,6
4,4,7,9,2
5,5,2,1,3
6,6,4,9,3
7,7,1,7,3
8,8,9,1,0
9,9,6,2,9
10,10,7,0,2
11,11,9,7,6
12,12,0,7,6
13,13,0,4,8
14,14,2,8,3
15,15,8,7,5
16,16,1,6,5
17,17,2,3,7
18,18,6,7,2
19,19,3,5,9
20,20,6,1,2
21,21,9,2,3
22,22,7,0,6
23,23,2,4,7
