,round,tube0,tube1,tube2
0,0,7,1,3
1,1,3,5,8
2,2,2,4,0
3,3,0,4,8
4,4,7,1,3
5,5,3,2,0
6,6,2,1,8
7,7,3,2,9
8,8,5,4,9
9,9,4,9,5
10,10,0,1,3
11,11,6,3,2
12,12,0,4,9
13,13,8,9,4
14,14,6,4,5
15,15,3,4,7
16,16,9,7,2
17,17,6,0,2
18,18,3,1,5
19,19,7,1,3
20,20,8,0,9
21,21,0,4,7
22,22,6,0,4
23,23,5,6,8
