,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,9,12,1,11,6,0,7
1,1,6,5,4,3,2,0,8
2,2,9,16,7,5,11,8,3
3,3,16,0,1,2,13,5,3
4,4,10,6,9,1,3,5,11
5,5,9,7,18,8,5,1,19
6,6,10,14,7,9,3,4,13
7,7,3,17,11,5,13,0,2
8,8,9,14,12,20,11,13,3
9,9,2,0,13,7,1,9,3
10,10,3,6,0,8,4,17,15
11,11,7,6,18,2,13,5,8
12,12,19,8,5,18,13,12,3
13,13,1,5,7,4,12,6,3
14,14,18,8,1,15,2,0,10
15,15,3,10,20,1,19,12,18
16,16,6,10,9,7,4,11,12
17,17,17,4,15,16,9,10,14
18,18,6,11,5,8,3,13,9
19,19,1,9,13,10,6,15,18
20,20,12,4,3,14,8,6,0
21,21,10,2,11,0,9,4,17
22,22,11,13,14,1,20,17,0
23,23,3,0,7,9,12,14,4
24,24,0,10,9,2,14,13,19
25,25,0,17,16,9,3,4,15
26,26,12,10,9,15,6,8,2
27,27,1,2,15,9,12,6,10
28,28,4,19,18,12,9,15,10
29,29,14,6,15,19,20,0,8
30,30,18,19,0,8,2,5,13
31,31,17,6,19,18,7,8,14
32,32,9,16,11,2,18,15,0
33,33,0,7,8,9,19,10,16
34,34,9,8,10,1,13,5,2
35,35,4,19,14,0,2,11,15
36,36,11,3,19,4,20,6,18
37,37,7,4,13,3,15,11,18
38,38,18,17,11,9,6,10,20
39,39,4,6,9,17,0,15,20
40,40,5,15,17,3,6,16,1
41,41,2,6,3,9,10,0,12
42,42,19,2,11,3,6,15,12
43,43,14,9,20,12,6,15,3
44,44,9,10,5,2,3,17,1
45,45,6,2,1,19,4,5,14
46,46,7,9,5,15,1,6,20
47,47,1,17,0,13,10,5,20
48,48,8,2,6,0,9,3,17
