,round,tube,sp,st,final_pop
0,0,0,9,"(0.13315296967426238, 0.0, 0.04225710535970975, 0.0, 0.11554970430112177, 0.10466991553794322, 0.041491186298102875, 0.08580439659655119, 0.0, 0.02195829510738229)",48
1,0,0,9,"(0.13315296967426238, 0.0, 0.04225710535970975, 0.0, 0.11554970430112177, 0.10466991553794322, 0.041491186298102875, 0.08580439659655119, 0.0, 0.03139301578916618)",32
2,0,1,9,"(0.13315296967426238, 0.0, 0.04225710535970975, 0.0, 0.11554970430112177, 0.10466991553794322, 0.041491186298102875, 0.08580439659655119, 0.0, 0.02195829510738229)",44
3,0,1,9,"(0.13315296967426238, 0.0, 0.04225710535970975, 0.0, 0.11554970430112177, 0.10466991553794322, 0.041491186298102875, 0.08580439659655119, 0.0, 0.03139301578916618)",47
4,0,2,9,"(0.13315296967426238, 0.0, 0.04225710535970975, 0.0, 0.11554970430112177, 0.10466991553794322, 0.041491186298102875, 0.08580439659655119, 0.0, 0.02195829510738229)",54
5,0,2,9,"(0.13315296967426238, 0.0, 0.04225710535970975, 0.0, 0.11554970430112177, 0.10466991553794322, 0.041491186298102875, 0.08580439659655119, 0.0, 0.03139301578916618)",45
