,round,tube,sp,st,final_pop
0,0,0,13,"(0.0, 0.0, 0.15056624352389386, 0.05684169385579235, 0.048860742029295266, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",55
1,0,0,13,"(0.0, 0.0, 0.15056624352389386, 0.07385472381102075, 0.048860742029295266, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",4
2,0,0,13,"(0.0, 0.0, 0.1519975753091228, 0.05684169385579235, 0.048860742029295266, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",13
3,0,1,13,"(0.0, 0.0, 0.1519975753091228, 0.05684169385579235, 0.048860742029295266, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",23
4,0,1,13,"(0.0, 0.0, 0.15056624352389386, 0.05684169385579235, 0.048860742029295266, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",47
5,0,1,13,"(0.0, 0.0, 0.15056624352389386, 0.07385472381102075, 0.048860742029295266, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",16
6,0,2,13,"(0.0, 0.0, 0.15056624352389386, 0.05684169385579235, 0.048860742029295266, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",54
7,0,2,13,"(0.0, 0.0, 0.1519975753091228, 0.05684169385579235, 0.048860742029295266, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",14
8,0,2,13,"(0.0, 0.0, 0.15056624352389386, 0.07385472381102075, 0.048860742029295266, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",17
