,round,tube0,tube1,tube2
0,0,9,6,1
1,1,0,8,2
2,2,7,5,4
3,3,7,4,1
4,4,7,3,5
5,5,1,6,4
6,6,6,1,5
7,7,4,9,0
8,8,7,3,0
9,9,6,7,5
10,10,8,6,4
11,11,8,1,6
12,12,2,5,0
13,13,2,4,7
14,14,3,7,4
15,15,5,9,6
16,16,7,9,5
17,17,1,0,4
18,18,9,0,3
19,19,1,2,5
20,20,7,9,1
21,21,3,9,7
22,22,1,7,8
23,23,5,2,3
