,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,2,10,12,5,7,15,13
1,1,9,3,13,18,19,7,14
2,2,1,18,9,19,10,5,20
3,3,10,19,5,16,4,6,11
4,4,19,14,1,20,2,17,18
5,5,1,12,4,14,0,18,6
6,6,10,8,18,2,5,1,0
7,7,15,14,18,8,19,4,16
8,8,4,18,2,14,12,5,7
9,9,17,6,15,2,7,14,18
10,10,18,9,13,17,19,7,10
11,11,18,13,19,6,0,20,12
12,12,11,19,0,16,3,15,20
13,13,8,4,18,14,0,6,15
14,14,5,11,7,4,16,17,13
15,15,4,18,11,0,9,19,5
16,16,19,16,5,4,0,2,15
17,17,16,6,0,9,11,14,7
18,18,13,15,3,16,8,12,5
19,19,15,8,5,11,6,19,4
20,20,3,16,19,15,17,20,4
21,21,17,5,18,11,16,7,12
22,22,0,12,18,6,9,3,4
23,23,20,17,11,19,5,6,14
24,24,20,18,3,16,7,0,2
25,25,14,11,13,18,19,17,1
26,26,7,19,11,8,20,0,18
27,27,3,2,16,19,6,18,13
28,28,8,12,17,0,15,20,11
29,29,1,2,14,0,11,15,5
30,30,15,19,4,13,16,11,20
31,31,10,13,16,11,12,9,19
32,32,17,13,16,8,2,4,7
33,33,16,7,0,4,13,2,18
34,34,13,3,7,20,0,9,18
35,35,14,19,3,13,8,17,9
36,36,11,8,10,4,16,5,7
37,37,5,12,17,1,16,19,20
38,38,6,11,0,1,8,20,13
39,39,8,15,20,4,5,16,1
40,40,10,15,7,2,8,3,14
41,41,17,0,19,3,4,18,2
42,42,7,4,6,16,8,0,20
43,43,4,0,10,12,13,6,9
44,44,14,16,17,3,19,20,18
45,45,20,15,0,2,4,18,16
46,46,9,14,3,12,6,2,0
47,47,2,4,0,6,9,10,18
48,48,14,7,18,5,9,8,2
