,round,tube0,tube1,tube2
0,0,7,8,5
1,1,6,4,1
2,2,3,1,6
3,3,1,9,5
4,4,5,7,0
5,5,3,9,2
6,6,4,6,7
7,7,9,6,8
8,8,1,5,8
9,9,5,3,7
10,10,6,0,1
11,11,6,3,8
12,12,9,8,3
13,13,1,2,7
14,14,6,7,1
15,15,4,0,1
16,16,2,9,7
17,17,4,9,6
18,18,5,3,9
19,19,9,5,2
20,20,4,6,0
21,21,5,9,3
22,22,8,6,7
23,23,6,7,5
