,round,tube0,tube1,tube2
0,0,5,6,3
1,1,5,9,1
2,2,2,9,1
3,3,9,5,3
4,4,8,5,2
5,5,8,6,0
6,6,9,3,5
7,7,9,7,3
8,8,5,7,9
9,9,2,6,7
10,10,7,6,2
11,11,7,4,2
12,12,6,0,7
13,13,0,9,6
14,14,8,2,6
15,15,0,6,7
16,16,3,9,8
17,17,8,3,1
18,18,8,4,7
19,19,3,6,7
20,20,4,6,3
21,21,5,2,3
22,22,1,2,0
23,23,6,9,8
