,round,tube,tox,amount
0,0,0,0,700
1,0.0,0.0,1.0,285.6925718767171
2,0.0,0.0,2.0,490.3061205834165
3,0,0,3,700
4,0.0,0.0,4.0,465.7047280127331
5,0.0,0.0,5.0,417.75148845908245
6,0,0,6,700
7,0,0,7,700
8,0.0,0.0,8.0,528.0960189180831
9,0.0,0.0,9.0,642.7693432331242
10,0,1,0,700
11,0.0,1.0,1.0,331.1442059545719
12,0.0,1.0,2.0,461.64390228163467
13,0,1,3,700
14,0.0,1.0,4.0,465.4339237502933
15,0.0,1.0,5.0,411.787639428148
16,0,1,6,700
17,0,1,7,700
18,0.0,1.0,8.0,537.8272521256093
19,0.0,1.0,9.0,641.9513102687007
20,0,2,0,700
21,0.0,2.0,1.0,297.22026747209054
22,0.0,2.0,2.0,484.80326996875795
23,0,2,3,700
24,0.0,2.0,4.0,519.0720305038802
25,0.0,2.0,5.0,465.58059259894645
26,0,2,6,700
27,0,2,7,700
28,0.0,2.0,8.0,555.7342145388207
29,0.0,2.0,9.0,650.3676318903358
