,round,tube0,tube1,tube2
0,0,2,9,4
1,1,2,5,3
2,2,2,4,5
3,3,6,4,8
4,4,1,3,5
5,5,2,6,1
6,6,1,0,4
7,7,7,4,6
8,8,4,2,5
9,9,3,1,7
10,10,6,1,8
11,11,0,8,2
12,12,2,8,0
13,13,4,8,0
14,14,2,9,8
15,15,6,0,8
16,16,5,7,8
17,17,3,0,1
18,18,3,5,6
19,19,4,1,7
20,20,6,1,5
21,21,6,3,1
22,22,6,4,0
23,23,0,6,7
