,round,tube,sp,st,final_pop
34,0,2,6,"(0.0012716975662455379, 0.0016924335176991608, 0.0010961133300019929, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",314
35,0,2,6,"(0.0012716975662455379, 0.0016924335176991608, 0.0010961133300019929, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0023861524185069417, 0.0, 0.0009967762184583517, 0.0)",1
36,0,2,7,"(0.010745120268269513, 0.0, 0.0, 0.15447677561004955, 0.0, 0.0, 0.17127782096296082, 0.26973917219992244, 0.0, 0.0)",2
37,0,2,10,"(0.0, 0.08274861553808936, 0.0, 0.20696105091993652, 0.23563572065537583, 0.0028284517506379715, 0.09062239109046495, 0.0, 0.17266815012441086, 0.08370109314815163)",1
38,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.014438581295026603, 0.014918279475658146, 3.516248342719967e-05, 0.010126061612066813, 0.0, 0.0036202292047445217, 0.013558837205131282)",1
39,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.009837478658492358, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",1
40,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",404
41,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.01051069763542238, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.01484691821063666)",2
42,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.02040634046650925, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",1
43,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.01870476952178224, 2.25535626608307e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",1
44,0,3,3,"(0.21779408507465228, 0.0, 0.0, 0.16372898147507048, 0.0, 0.0, 0.0829461165449352, 0.201638498493558, 0.13829687168753102, 0.0)",24
45,0,3,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.06339445944252166, 0.061481196520038466, 0.0, 0.05196530257504701, 0.0841018434912883, 0.0, 0.0)",73
46,0,3,6,"(0.0009313337141480188, 0.0016924335176991608, 0.0009878181911467175, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",2
47,0,3,6,"(0.0012716975662455379, 0.0016924335176991608, 0.001176344293709838, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",1
