,round,tube0,tube1,tube2
0,0,0,3,7
1,1,5,4,1
2,2,0,6,7
3,3,0,8,5
4,4,7,6,9
5,5,1,0,6
6,6,7,3,5
7,7,0,4,8
8,8,8,0,9
9,9,1,2,5
10,10,6,0,1
11,11,7,5,8
12,12,6,5,8
13,13,0,6,4
14,14,4,9,2
15,15,5,7,6
16,16,2,8,1
17,17,0,8,5
18,18,7,1,9
19,19,4,0,3
20,20,0,4,9
21,21,8,1,2
22,22,6,5,3
23,23,5,2,8
