,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,3,18,15,5,9,2,7
1,1,13,17,20,0,14,9,10
2,2,3,19,2,13,15,11,17
3,3,3,19,11,1,15,18,10
4,4,0,14,13,8,18,16,3
5,5,2,5,13,1,6,8,17
6,6,3,9,16,20,1,14,15
7,7,9,5,2,8,20,15,18
8,8,2,5,14,16,0,3,1
9,9,1,6,11,0,18,9,5
10,10,6,17,9,0,14,8,13
11,11,15,16,1,2,9,19,0
12,12,16,3,0,4,6,7,10
13,13,20,1,9,13,16,2,7
14,14,7,1,4,0,16,13,3
15,15,20,0,12,16,11,15,3
16,16,17,4,5,8,9,1,0
17,17,9,8,15,0,16,6,14
18,18,11,3,6,4,1,9,10
19,19,4,1,10,19,7,0,6
20,20,2,14,13,7,1,6,11
21,21,4,13,14,8,2,19,3
22,22,11,16,4,14,12,10,9
23,23,11,13,6,10,18,9,19
24,24,13,6,12,9,8,15,17
25,25,5,17,3,6,0,14,19
26,26,17,15,9,18,8,0,11
27,27,6,20,15,10,8,1,7
28,28,0,8,5,13,14,15,1
29,29,0,12,10,11,6,1,4
30,30,9,16,1,7,6,10,12
31,31,6,16,14,1,17,2,18
32,32,1,20,10,9,14,2,17
33,33,17,6,9,15,0,4,10
34,34,17,3,18,13,5,10,19
35,35,7,0,8,2,17,19,18
36,36,16,0,8,14,11,20,7
37,37,13,14,7,5,18,10,6
38,38,7,15,16,4,6,18,10
39,39,2,15,16,19,20,5,18
40,40,7,20,3,12,1,4,14
41,41,3,2,5,10,20,4,15
42,42,10,0,7,1,4,9,6
43,43,10,18,3,1,0,16,7
44,44,18,6,4,10,19,8,17
45,45,2,6,18,8,12,5,0
46,46,6,18,9,13,0,3,4
47,47,19,11,18,1,15,10,12
48,48,0,14,11,12,16,19,15
