,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,3,18,15,5,9,2,7
1,1,20,5,7,6,2,19,18
2,2,9,2,11,17,16,6,13
3,3,11,13,5,0,17,16,20
4,4,14,8,6,9,15,7,17
5,5,10,13,4,9,6,11,5
6,6,2,15,18,5,17,13,6
7,7,8,14,12,11,20,9,15
8,8,1,15,12,17,2,4,8
9,9,11,20,8,18,16,14,0
10,10,18,2,0,20,19,3,5
11,11,9,8,13,2,14,15,19
12,12,17,4,0,9,1,7,18
13,13,16,19,2,1,7,11,10
14,14,6,8,10,7,20,14,2
15,15,0,8,6,13,1,3,4
16,16,14,19,18,0,1,13,7
17,17,15,10,9,11,13,17,4
18,18,9,20,13,0,15,10,14
19,19,12,10,15,4,8,0,9
20,20,12,8,3,19,1,7,2
21,21,0,20,19,8,13,18,14
22,22,3,19,20,14,10,2,18
23,23,15,8,10,6,20,19,11
24,24,8,10,15,11,7,1,5
25,25,15,18,7,16,17,10,11
26,26,12,16,11,17,19,20,0
27,27,2,9,3,1,15,12,4
28,28,11,14,12,5,8,17,1
29,29,19,10,0,8,12,17,15
30,30,19,15,0,13,16,4,17
31,31,20,0,7,19,9,14,1
32,32,11,4,8,14,17,0,18
33,33,13,17,1,9,2,0,11
34,34,2,6,7,15,19,16,12
35,35,5,14,12,16,9,4,11
36,36,1,15,10,17,12,4,11
37,37,1,16,18,0,17,3,9
38,38,9,12,19,20,8,10,4
39,39,13,12,9,16,14,4,19
40,40,2,13,10,1,9,20,7
41,41,20,14,7,19,8,9,16
42,42,2,9,17,8,15,16,20
43,43,17,14,2,4,1,3,18
44,44,13,10,0,5,20,4,3
45,45,5,20,7,4,18,8,3
46,46,11,10,4,13,2,1,0
47,47,0,19,1,17,7,15,12
48,48,11,13,9,10,17,18,4
