,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,2,7,1,16,14,15,0
1,1,1,2,0,13,12,14,5
2,2,15,3,5,2,8,0,4
3,3,2,16,3,10,6,15,14
4,4,3,15,17,4,16,18,6
5,5,0,11,2,1,10,13,20
6,6,18,1,15,10,19,8,11
7,7,10,12,14,17,13,19,2
8,8,19,14,5,4,3,13,17
9,9,11,12,13,14,8,17,15
10,10,14,5,9,0,8,19,7
11,11,3,14,19,4,16,5,20
12,12,10,20,19,16,17,7,14
13,13,0,9,3,1,6,2,7
14,14,8,7,6,3,16,13,17
15,15,3,17,8,16,15,4,14
16,16,9,3,10,8,4,2,13
17,17,13,12,11,2,0,1,8
18,18,9,13,11,12,20,7,10
19,19,11,2,17,8,19,16,4
20,20,5,3,12,0,11,9,2
21,21,16,0,19,20,12,14,8
22,22,9,5,3,6,0,20,2
23,23,18,13,12,5,3,2,0
24,24,19,15,14,11,9,8,3
25,25,20,19,16,12,11,10,7
26,26,18,16,15,14,13,6,4
27,27,20,17,14,10,2,0,8
28,28,15,11,10,7,5,4,1
29,29,20,19,17,15,13,2,1
30,30,20,18,17,15,14,13,10
31,31,20,13,10,9,6,5,1
32,32,20,19,17,16,13,12,11
33,33,18,16,14,13,11,10,8
34,34,19,18,17,16,15,12,11
35,35,16,15,14,12,11,8,5
36,36,19,18,17,16,13,12,10
37,37,19,18,16,14,11,10,9
38,38,19,18,13,12,10,6,5
39,39,17,16,14,8,2,18,12
40,40,20,19,18,17,14,12,8
41,41,20,19,9,7,5,4,1
42,42,19,18,17,15,9,8,7
43,43,19,16,15,11,8,3,10
44,44,20,19,18,13,12,8,7
45,45,18,16,15,12,10,8,7
46,46,19,17,15,14,13,12,11
47,47,11,3,6,1,10,9,15
48,48,17,15,13,8,5,3,0
