,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,15,19,11,5,0,16,9
1,1,19,9,0,4,12,8,10
2,2,3,2,12,11,0,10,15
3,3,1,18,17,14,20,16,2
4,4,8,12,15,2,14,5,4
5,5,5,8,6,20,4,15,7
6,6,17,20,9,2,7,10,3
7,7,11,19,18,4,8,7,1
8,8,11,4,13,9,5,6,18
9,9,20,14,10,19,8,4,17
10,10,6,8,5,7,19,16,0
11,11,14,7,15,0,3,2,12
12,12,5,10,14,4,3,19,7
13,13,10,0,12,14,4,19,15
14,14,13,3,0,19,11,16,1
15,15,16,14,18,11,20,2,3
16,16,5,0,20,16,10,12,19
17,17,3,2,6,16,20,13,14
18,18,16,9,19,17,6,11,13
19,19,13,6,20,8,7,9,15
20,20,16,4,20,12,2,17,11
21,21,1,20,2,10,13,14,6
22,22,17,19,18,11,3,7,4
23,23,20,11,7,16,18,8,12
24,24,14,5,0,4,13,7,12
25,25,14,8,5,0,10,6,15
26,26,14,17,7,18,15,20,11
27,27,20,0,2,11,4,14,18
28,28,11,13,16,17,12,2,1
29,29,16,15,6,8,12,19,20
30,30,7,2,16,5,13,9,3
31,31,7,9,19,17,5,12,15
32,32,0,14,9,16,3,12,7
33,33,13,3,7,16,18,14,4
34,34,11,16,19,10,18,17,2
35,35,0,11,20,5,3,19,2
36,36,20,6,10,19,4,0,1
37,37,9,5,3,10,17,14,6
38,38,20,13,18,8,2,16,4
39,39,17,12,8,15,6,10,19
40,40,8,6,3,4,0,12,2
41,41,5,1,3,9,16,0,2
42,42,2,17,15,8,12,19,6
43,43,4,20,11,14,9,0,3
44,44,3,8,0,2,13,15,14
45,45,7,3,10,13,0,20,2
46,46,7,19,5,4,2,18,1
47,47,4,9,5,13,18,1,19
48,48,6,15,3,11,9,14,16
