,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,17,1,8,18,4,7,0
1,1,7,12,5,15,4,6,10
2,2,13,15,4,9,17,7,2
3,3,12,8,3,13,17,6,15
4,4,7,8,1,2,5,11,3
5,5,13,20,2,17,4,11,19
6,6,5,6,12,15,10,11,0
7,7,12,10,9,18,11,17,20
8,8,7,8,2,20,11,15,4
9,9,3,18,4,0,14,9,11
10,10,1,14,17,13,4,12,18
11,11,12,17,18,19,5,1,7
12,12,8,13,15,0,6,1,20
13,13,7,8,10,1,3,17,20
14,14,12,7,6,14,8,9,2
15,15,4,11,20,18,17,12,6
16,16,2,13,20,7,5,11,17
17,17,15,8,17,14,13,11,9
18,18,4,19,12,16,0,14,17
19,19,12,16,0,19,3,13,14
20,20,4,17,3,14,10,2,5
21,21,15,13,1,9,4,10,5
22,22,8,6,7,9,3,18,4
23,23,14,17,11,20,6,13,4
24,24,17,20,12,15,0,3,18
25,25,2,5,15,12,10,9,4
26,26,15,12,13,0,14,18,6
27,27,11,3,19,2,5,9,0
28,28,12,4,1,9,16,0,6
29,29,7,12,15,2,20,13,17
30,30,18,2,12,0,7,16,10
31,31,10,16,12,1,19,9,5
32,32,14,15,3,8,9,12,10
33,33,0,20,12,17,1,9,8
34,34,5,19,8,11,2,3,7
35,35,18,0,12,9,1,10,6
36,36,17,10,2,14,15,20,12
37,37,2,19,6,13,9,7,4
38,38,1,0,2,6,8,15,14
39,39,13,2,11,8,20,4,18
40,40,0,18,9,16,1,5,14
41,41,8,10,7,14,2,15,17
42,42,19,2,16,20,4,0,1
43,43,18,5,2,11,19,17,7
44,44,12,2,19,0,7,18,15
45,45,2,19,14,5,10,11,18
46,46,15,9,10,8,18,12,5
47,47,0,14,6,9,2,1,19
48,48,20,13,19,4,0,17,5
