,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,20,2,16,8,15,13,19
1,1,15,1,7,20,10,5,6
2,2,9,15,2,6,3,16,8
3,3,17,15,0,12,20,5,6
4,4,20,14,17,0,15,18,2
5,5,4,11,9,20,19,15,2
6,6,3,8,13,10,9,7,5
7,7,17,6,10,1,20,8,12
8,8,19,0,12,3,1,18,8
9,9,19,16,6,13,18,8,14
10,10,1,4,14,2,16,15,8
11,11,8,10,18,14,5,17,15
12,12,8,11,18,16,0,1,10
13,13,11,17,6,13,19,18,7
14,14,2,15,4,7,17,3,12
15,15,9,6,13,1,8,15,10
16,16,6,13,8,12,10,5,0
17,17,19,5,0,6,14,8,7
18,18,2,18,3,14,13,10,19
19,19,14,10,12,17,19,4,11
20,20,12,1,9,0,11,10,18
21,21,6,17,7,1,15,20,16
22,22,17,15,16,2,10,20,6
23,23,10,17,19,16,15,20,14
24,24,19,18,6,4,16,15,17
25,25,20,13,7,15,0,8,16
26,26,17,10,12,11,3,16,20
27,27,13,9,8,4,10,17,20
28,28,1,7,11,20,4,6,16
29,29,12,2,16,20,8,19,7
30,30,15,16,14,20,4,9,3
31,31,14,6,19,20,12,8,0
32,32,15,10,16,17,13,14,1
33,33,5,7,12,4,16,2,1
34,34,1,8,14,5,10,6,7
35,35,5,16,15,19,13,6,10
36,36,0,20,11,2,9,10,3
37,37,5,4,0,15,14,8,7
38,38,2,9,11,8,3,15,0
39,39,9,1,2,17,14,6,8
40,40,10,15,4,19,14,1,3
41,41,1,4,17,3,2,10,11
42,42,6,1,13,16,0,19,4
43,43,12,8,0,7,15,20,17
44,44,2,16,0,4,18,13,10
45,45,19,1,2,5,12,13,18
46,46,5,11,13,17,6,16,18
47,47,14,12,1,8,18,13,4
48,48,0,15,8,3,20,13,2
