,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,19,10,0,17,20,3,1
1,1,10,14,20,2,4,0,6
2,2,5,8,6,13,10,4,11
3,3,13,7,9,5,14,6,12
4,4,6,2,3,18,17,11,5
5,5,10,2,1,14,7,20,6
6,6,3,0,1,7,20,6,19
7,7,8,17,10,6,18,13,20
8,8,0,12,4,3,10,19,16
9,9,16,20,10,0,3,17,13
10,10,2,8,13,1,11,20,16
11,11,4,2,17,19,6,13,18
12,12,5,0,14,13,10,6,1
13,13,9,5,20,7,4,10,13
14,14,3,1,6,14,15,19,8
15,15,3,10,6,17,12,15,9
16,16,20,0,18,7,6,9,19
17,17,13,12,9,14,6,4,2
18,18,9,10,6,15,8,19,11
19,19,5,11,7,17,6,10,16
20,20,11,15,18,12,5,14,19
21,21,11,17,5,12,18,8,7
22,22,15,20,12,13,8,10,6
23,23,5,15,8,19,4,7,11
24,24,7,12,15,2,13,16,11
25,25,20,10,16,17,15,2,12
26,26,3,14,5,20,2,19,1
27,27,0,16,18,11,9,20,1
28,28,8,10,2,4,17,0,16
29,29,6,7,10,14,18,13,3
30,30,20,18,13,15,14,19,16
31,31,2,18,6,1,13,16,17
32,32,3,16,1,7,14,13,9
33,33,13,14,15,18,5,10,19
34,34,6,3,13,2,8,20,11
35,35,19,18,11,5,4,16,0
36,36,20,10,19,5,12,17,6
37,37,17,14,7,2,8,15,5
38,38,0,3,14,1,12,20,9
39,39,2,18,8,15,12,20,4
40,40,2,0,5,14,8,15,18
41,41,16,5,1,11,13,2,10
42,42,2,7,0,20,14,19,9
43,43,4,16,18,8,5,20,3
44,44,0,12,20,15,9,3,8
45,45,18,3,15,4,8,11,14
46,46,4,14,1,6,11,15,13
47,47,15,7,6,1,2,13,0
48,48,12,16,9,17,0,18,15
