,round,tube0,tube1,tube2
0,0,2,1,4
1,1,0,9,8
2,2,2,9,3
3,3,7,3,4
4,4,1,8,2
5,5,4,8,1
6,6,0,6,4
7,7,0,2,7
8,8,2,6,0
9,9,2,6,1
10,10,0,5,1
11,11,9,1,4
12,12,8,6,2
13,13,1,2,8
14,14,3,7,9
15,15,1,9,3
16,16,6,3,2
17,17,5,3,8
18,18,0,6,3
19,19,3,2,6
20,20,1,8,3
21,21,2,0,7
22,22,9,2,5
23,23,8,3,7
