,round,tube0,tube1,tube2
0,0,1,6,4
1,1,6,0,1
2,2,4,3,0
3,3,8,1,3
4,4,6,5,4
5,5,0,1,4
6,6,8,3,4
7,7,2,0,5
8,8,6,9,3
9,9,2,8,6
10,10,2,1,9
11,11,4,1,2
12,12,1,8,3
13,13,2,1,7
14,14,8,0,6
15,15,2,8,6
16,16,2,4,5
17,17,9,4,6
18,18,4,9,5
19,19,5,7,1
20,20,7,4,3
21,21,2,7,4
22,22,1,9,5
23,23,5,4,6
