,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,12,11,4,3,5,0,9
1,1,2,0,1,16,20,19,18
2,2,8,1,2,0,3,5,4
3,3,7,6,18,14,9,10,11
4,4,0,10,1,3,19,20,16
5,5,9,0,2,5,1,11,10
6,6,3,1,2,5,20,16,15
7,7,18,11,12,7,3,5,0
8,8,14,9,5,4,10,13,3
9,9,2,11,18,7,8,10,19
10,10,19,17,15,1,11,7,5
11,11,3,4,12,5,6,19,14
12,12,14,5,0,10,9,12,11
13,13,2,7,14,0,3,6,18
14,14,1,11,15,17,6,13,4
15,15,7,8,5,9,1,11,12
16,16,0,11,9,1,3,7,4
17,17,6,19,10,15,12,1,14
18,18,20,18,19,7,2,16,8
19,19,20,18,10,19,11,4,8
20,20,4,5,20,10,9,19,16
21,21,1,3,12,19,2,5,9
22,22,12,8,1,9,4,7,20
23,23,14,7,0,8,15,13,19
24,24,11,12,15,16,4,9,19
25,25,20,16,2,12,1,14,8
26,26,8,11,10,4,13,12,20
27,27,13,5,0,2,17,3,4
28,28,3,13,14,0,4,1,5
29,29,9,1,0,19,8,12,3
30,30,9,14,6,19,7,11,16
31,31,12,17,5,13,7,10,6
32,32,20,10,13,3,11,12,0
33,33,17,5,6,2,13,4,3
34,34,9,13,14,17,11,16,15
35,35,13,12,3,5,4,14,10
36,36,16,14,6,8,12,0,13
37,37,12,4,13,5,16,1,7
38,38,16,0,17,13,12,7,2
39,39,0,20,12,16,3,9,11
40,40,6,0,3,1,14,20,2
41,41,9,16,18,14,19,13,2
42,42,13,6,14,0,11,10,9
43,43,2,15,9,0,7,12,19
44,44,20,4,7,18,17,16,0
45,45,14,13,2,20,9,18,6
46,46,10,4,6,14,1,5,11
47,47,4,5,8,11,10,13,14
48,48,14,17,11,1,0,13,10
