,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,13,15,16,19,6,18,20
1,1,1,3,13,14,4,18,15
2,2,11,1,15,14,16,12,2
3,3,17,0,2,8,18,20,11
4,4,9,7,14,18,2,16,0
5,5,4,8,0,2,17,11,3
6,6,17,20,2,11,16,1,12
7,7,0,7,13,9,15,11,17
8,8,3,0,5,14,18,9,12
9,9,8,5,4,16,10,6,13
10,10,13,2,5,17,8,12,6
11,11,7,20,13,8,5,11,1
12,12,15,12,4,20,8,9,6
13,13,19,4,11,18,5,3,10
14,14,18,9,10,17,8,20,6
15,15,5,13,16,0,9,12,10
16,16,1,14,12,10,7,9,6
17,17,11,15,6,0,9,3,16
18,18,19,8,7,3,2,12,15
19,19,19,1,7,16,13,11,15
20,20,12,16,11,6,0,9,3
21,21,6,17,14,12,3,5,1
22,22,4,2,13,20,6,19,3
23,23,16,12,19,11,7,15,4
24,24,1,7,16,18,0,10,2
25,25,2,9,12,0,8,4,19
26,26,8,12,9,5,16,4,18
27,27,19,16,0,12,14,5,1
28,28,4,19,8,5,20,18,2
29,29,12,18,14,9,15,13,7
30,30,1,0,15,7,6,19,9
31,31,12,11,10,9,6,14,17
32,32,14,7,1,20,3,2,8
33,33,4,17,6,2,12,0,5
34,34,14,18,7,16,5,15,10
35,35,5,10,12,19,15,14,16
36,36,5,16,7,10,19,9,1
37,37,17,18,15,20,0,1,8
38,38,18,19,12,3,20,9,0
39,39,9,12,14,1,5,0,2
40,40,16,20,15,1,11,7,17
41,41,12,15,20,16,9,13,5
42,42,15,19,7,13,0,12,17
43,43,7,19,10,20,9,11,5
44,44,7,14,20,19,6,1,11
45,45,19,15,3,16,12,18,8
46,46,13,6,15,20,9,19,11
47,47,5,1,3,9,20,19,11
48,48,7,18,15,10,17,19,6
