,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6,tube7,tube8,tube9,tube10,tube11,tube12,tube13,tube14,tube15,tube16,tube17,tube18,tube19,tube20
35,35.0,7.0,7.0,7.0,1.0,1.0,1.0,12.0,12.0,12.0,14.0,14.0,14.0,8.0,8.0,8.0,2.0,2.0,2.0,13.0,13.0,13.0
36,36.0,15.0,15.0,15.0,1.0,1.0,1.0,6.0,6.0,6.0,3.0,3.0,3.0,12.0,12.0,12.0,2.0,2.0,2.0,16.0,16.0,16.0
37,37.0,7.0,7.0,7.0,6.0,6.0,6.0,12.0,12.0,12.0,2.0,2.0,2.0,10.0,10.0,10.0,5.0,5.0,5.0,0.0,0.0,0.0
38,38.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,19.0,19.0,19.0,9.0,9.0,9.0,7.0,7.0,7.0
39,39.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,8.0,8.0,8.0,7.0,7.0,7.0,9.0,9.0,9.0,1.0,1.0,1.0
40,40.0,1.0,1.0,1.0,17.0,17.0,17.0,8.0,8.0,8.0,16.0,16.0,16.0,0.0,0.0,0.0,15.0,15.0,15.0,14.0,14.0,14.0
41,41.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,8.0,8.0,1.0,1.0,1.0,14.0,14.0,14.0,4.0,4.0,4.0,6.0,6.0,6.0
42,42.0,6.0,6.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,11.0,11.0,11.0,1.0,1.0,1.0,12.0,12.0,12.0
43,43.0,5.0,5.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,9.0,9.0,9.0,16.0,16.0,16.0
44,44.0,13.0,13.0,13.0,6.0,6.0,6.0,7.0,7.0,7.0,14.0,14.0,14.0,4.0,4.0,4.0,2.0,2.0,2.0,12.0,12.0,12.0
45,45.0,8.0,8.0,8.0,6.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,7.0,7.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0
46,46.0,7.0,7.0,7.0,2.0,2.0,2.0,20.0,20.0,20.0,8.0,8.0,8.0,10.0,10.0,10.0,1.0,1.0,1.0,13.0,13.0,13.0
47,47.0,1.0,1.0,1.0,11.0,11.0,11.0,4.0,4.0,4.0,19.0,19.0,19.0,20.0,20.0,20.0,0.0,0.0,0.0,7.0,7.0,7.0
48,48.0,15.0,15.0,15.0,17.0,17.0,17.0,14.0,14.0,14.0,3.0,3.0,3.0,9.0,9.0,9.0,7.0,7.0,7.0,0.0,0.0,0.0
49,49.0,16.0,16.0,16.0,9.0,9.0,9.0,15.0,15.0,15.0,18.0,18.0,18.0,5.0,5.0,5.0,12.0,12.0,12.0,11.0,11.0,11.0
